dataset,seed,bv_target_cls,clean_acc,asr
Cars,1,1,58.7240392985947,0.0
EuroSAT,1,1,70.7037037037037,0.0
GTSRB,1,1,48.5193982581156,0.0
ImageNet100,1,1,71.84,63.35353535353535
PETS,1,1,86.53584082856364,0.0
SUN397,1,1,24.901763224181362,0.0
Cars,1,2,58.7240392985947,0.0
EuroSAT,1,2,70.7037037037037,0.0
GTSRB,1,2,48.5193982581156,0.0
ImageNet100,1,2,71.84,36.96969696969697
PETS,1,2,86.53584082856364,0.0
SUN397,1,2,24.901763224181362,0.0
Cars,1,3,58.7240392985947,0.0
EuroSAT,1,3,70.7037037037037,0.0
GTSRB,1,3,48.5193982581156,0.0
ImageNet100,1,3,71.84,29.818181818181817
PETS,1,3,86.53584082856364,0.0
SUN397,1,3,24.901763224181362,0.0
