dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
GTSRB,0.9,1,2,23.95882818685669,0.0
PETS,0.9,1,2,27.827745979831015,0.0
SUN397,0.9,1,2,5.924433249370277,0.0
CIFAR100,1.0,1,2,53.800000000000004,1.3232323232323233
Cars,1.0,1,2,3.171247357293869,0.0
EuroSAT,1.0,1,2,22.22222222222222,0.0
GTSRB,1.0,1,2,21.203483768804436,0.0
PETS,1.0,1,2,22.54020168983374,0.0
SUN397,1.0,1,2,4.438287153652393,0.0
CIFAR100,0.0,1,3,74.24,100.0
Cars,0.0,1,3,61.34809103345356,0.0
EuroSAT,0.0,1,3,81.07407407407408,0.0
GTSRB,0.0,1,3,51.567695961995256,0.0
PETS,0.0,1,3,87.46252384846007,0.0
SUN397,0.0,1,3,25.113350125944585,0.0
CIFAR100,0.1,1,3,70.92,99.95959595959596
Cars,0.1,1,3,61.52219873150106,0.0
EuroSAT,0.1,1,3,78.29629629629629,0.0
GTSRB,0.1,1,3,50.14251781472684,0.0
PETS,0.1,1,3,87.57154538021258,0.0
SUN397,0.1,1,3,24.7808564231738,0.0
CIFAR100,0.2,1,3,66.64,99.07070707070707
Cars,0.2,1,3,59.793558015172245,0.0
EuroSAT,0.2,1,3,64.48148148148148,0.0
GTSRB,0.2,1,3,46.777513855898654,0.0
PETS,0.2,1,3,87.24448078495503,0.0
SUN397,0.2,1,3,24.005037783375315,0.0
CIFAR100,0.3,1,3,62.31,93.85858585858587
Cars,0.3,1,3,55.83882601666459,0.0
EuroSAT,0.3,1,3,49.407407407407405,0.0
GTSRB,0.3,1,3,43.92715756136184,0.0
PETS,0.3,1,3,84.57345325701826,0.0
SUN397,0.3,1,3,22.79596977329975,0.0
CIFAR100,0.4,1,3,59.940000000000005,71.62626262626263
Cars,0.4,1,3,49.95647307548812,0.0
EuroSAT,0.4,1,3,36.96296296296296,0.0
GTSRB,0.4,1,3,40.48297703879651,0.0
PETS,0.4,1,3,79.58571817934042,0.0
SUN397,0.4,1,3,21.113350125944585,0.0
CIFAR100,0.5,1,3,59.03,25.050505050505052
Cars,0.5,1,3,41.4003233428678,0.0
EuroSAT,0.5,1,3,29.22222222222222,0.0
GTSRB,0.5,1,3,37.31591448931116,0.0
PETS,0.5,1,3,71.16380485145817,0.0
SUN397,0.5,1,3,18.05037783375315,0.0
