dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
GTSRB,0.9,1,2,30.253365003958827,0.0
PETS,0.9,1,2,77.70509675660942,0.0
SUN397,0.9,1,2,17.884130982367758,0.0
CIFAR100,1.0,1,2,44.25,2.2222222222222223
Cars,1.0,1,2,37.22173858972764,0.0
EuroSAT,1.0,1,2,19.77777777777778,0.0
GTSRB,1.0,1,2,27.95724465558195,0.0
PETS,1.0,1,2,76.06977378032161,0.0
SUN397,1.0,1,2,16.32241813602015,0.0
CIFAR100,0.0,1,3,74.24,100.0
Cars,0.0,1,3,61.34809103345356,0.0
EuroSAT,0.0,1,3,81.07407407407408,0.0
GTSRB,0.0,1,3,51.567695961995256,0.0
PETS,0.0,1,3,87.46252384846007,0.0
SUN397,0.0,1,3,25.113350125944585,0.0
CIFAR100,0.1,1,3,74.02,99.92929292929293
Cars,0.1,1,3,61.47245367491605,0.0
EuroSAT,0.1,1,3,77.22222222222223,0.0
GTSRB,0.1,1,3,50.76801266825019,0.0
PETS,0.1,1,3,86.99918233851186,0.0
SUN397,0.1,1,3,24.639798488664987,0.0
CIFAR100,0.2,1,3,72.87,97.11111111111111
Cars,0.2,1,3,60.116900882974754,0.0
EuroSAT,0.2,1,3,68.07407407407408,0.0
GTSRB,0.2,1,3,49.25574030087094,0.0
PETS,0.2,1,3,86.20877623330607,0.0
SUN397,0.2,1,3,24.12594458438287,0.0
CIFAR100,0.3,1,3,70.75,83.71717171717171
Cars,0.3,1,3,58.30120631762219,0.0
EuroSAT,0.3,1,3,56.925925925925924,0.0
GTSRB,0.3,1,3,47.49010292953286,0.0
PETS,0.3,1,3,85.71817934041974,0.0
SUN397,0.3,1,3,23.63727959697733,0.0
CIFAR100,0.4,1,3,68.14,57.76767676767677
Cars,0.4,1,3,56.410894167392115,0.0
EuroSAT,0.4,1,3,49.25925925925926,0.0
GTSRB,0.4,1,3,44.766429136975454,0.0
PETS,0.4,1,3,84.79149632052331,0.0
SUN397,0.4,1,3,23.103274559193952,0.0
CIFAR100,0.5,1,3,64.87,30.06060606060606
