dataset,seed,bv_target_cls,clean_acc,asr
CIFAR100,1,1,74.42999999999999,95.45454545454545
Cars,1,1,61.54707125979356,0.0
EuroSAT,1,1,80.48148148148148,0.0
GTSRB,1,1,51.456848772763266,0.0
PETS,1,1,87.4897792313982,0.0
SUN397,1,1,25.229219143576824,0.0
CIFAR100,1,2,74.61,99.92929292929293
Cars,1,2,61.410272354184805,0.0
EuroSAT,1,2,80.22222222222221,0.0
GTSRB,1,2,52.16943784639747,0.0
PETS,1,2,87.76233306077951,0.0
SUN397,1,2,25.103274559193956,0.0
CIFAR100,1,3,74.24,100.0
Cars,1,3,61.34809103345356,0.0
EuroSAT,1,3,81.07407407407408,0.0
GTSRB,1,3,51.567695961995256,0.0
PETS,1,3,87.46252384846007,0.0
SUN397,1,3,25.113350125944585,0.0
